periodo,año,trimestre,sector_codigo,sector_nombre,A_notional_nominal_total,A_notional_real_total,log_A_real,d_log_A_real
2024T3,2024,3,S11,Empresas no financieras,107151.8093332599,4.655081356804317,1.5379593878704647,0.005863018216531346
2024T4,2024,4,S11,Empresas no financieras,108579.62688731626,4.6922479516894136,1.5459117750235527,0.007952387153087992
2025T1,2025,1,S11,Empresas no financieras,108846.154780016,4.6991006060553255,1.5473711299905122,0.0014593549669594807
2025T2,2025,2,S11,Empresas no financieras,113148.10988435626,4.808656911232673,1.5704178166921965,0.023046686701684305
2025T3,2025,3,S11,Empresas no financieras,113741.0107086227,4.823672513717789,1.5735355702460443,0.003117753553847802
2003T1,2003,1,S121,Banco Central,18182.328553997002,1.0833390067683335,0.08004794467674653,
2003T2,2003,2,S121,Banco Central,17137.926347243,1.0217574897486037,0.021524173749651376,-0.05852377092709515
2003T3,2003,3,S121,Banco Central,17117.799299465,1.020569775117035,0.020361074391486746,-0.0011630993581646307
2003T4,2003,4,S121,Banco Central,17500.654979322,1.0431971793639028,0.04229020835598142,0.021929133964494675
2004T1,2004,1,S121,Banco Central,16924.068583167,1.0089190409523985,0.008879501236955165,-0.03341070711902626
2004T2,2004,2,S121,Banco Central,17097.757988055,1.0191270876929412,0.01894646451392976,0.010066963276974594
2004T3,2004,3,S121,Banco Central,16680.758482285,0.9948699274145829,-0.0051432765854604575,-0.024089741099390216
2004T4,2004,4,S121,Banco Central,17152.620463962,1.0221183318297111,0.021877269648185788,0.027020546233646244
2005T1,2005,1,S121,Banco Central,16389.253925581,0.9777334081094822,-0.022518234951522133,-0.044395504599707925
2005T2,2005,2,S121,Banco Central,16582.681768439,0.9887932215867896,-0.0112700474935612,0.011248187457960933
2005T3,2005,3,S121,Banco Central,15854.178192970001,0.9476756198702441,-0.05374300841435312,-0.04247296092079192
2005T4,2005,4,S121,Banco Central,16389.933221357,0.9774814997870276,-0.022775913350792782,0.03096709506356034
2006T1,2006,1,S121,Banco Central,15364.661574957001,0.9202538204048558,-0.08310575524577138,-0.0603298418949786
2006T2,2006,2,S121,Banco Central,15776.087737317,0.9429201801545171,-0.0587736445181732,0.02433211072759818
2006T3,2006,3,S121,Banco Central,15607.578287672,0.9337626302380715,-0.06853301626720992,-0.009759371749036724
2006T4,2006,4,S121,Banco Central,16886.567100356,1.003514064964228,0.0035079050645819474,0.07204092133179187
2007T1,2007,1,S121,Banco Central,14581.331913934002,0.8780452275132334,-0.1300571746996466,-0.13356507976422854
2007T2,2007,2,S121,Banco Central,15878.46318366,0.9476929632096966,-0.0537247076578587,0.0763324670417879
2007T3,2007,3,S121,Banco Central,14405.999840723,0.8709179515074337,-0.1382075069026616,-0.0844827992448029
2007T4,2007,4,S121,Banco Central,14569.082707435,0.8792288974603268,-0.12871000852985262,0.009497498372808971
2008T1,2008,1,S121,Banco Central,14213.386558153,0.8612848636118726,-0.14932997722756583,-0.02061996869771321
2008T2,2008,2,S121,Banco Central,15261.309926782,0.9130272412309172,-0.09098956177761086,0.05834041544995497
2008T3,2008,3,S121,Banco Central,18008.219484003,1.0439051266292383,0.042968610454866704,0.13395817223247758
2008T4,2008,4,S121,Banco Central,18104.222737234,1.0483802665882735,0.04724636988275335,0.004277759427886649
2009T1,2009,1,S121,Banco Central,18017.17782102,1.0442273147088397,0.04327720015519404,-0.003969169727559313
2009T2,2009,2,S121,Banco Central,18169.134844421,1.051486516840257,0.050204893292153684,0.006927693136959644
2009T3,2009,3,S121,Banco Central,19662.515562595,1.1231649493486267,0.11615054773823337,0.0659456544460797
2009T4,2009,4,S121,Banco Central,20746.40903925,1.174919697341978,0.1611998025729761,0.045049254834742716
2010T1,2010,1,S121,Banco Central,20623.540093504,1.1690683827852377,0.1562071776013325,-0.0049926249716436
2010T2,2010,2,S121,Banco Central,19243.00965606,1.1039556566552586,0.09889978097508996,-0.05730739662624253
2010T3,2010,3,S121,Banco Central,18112.798633436,1.05099354080497,0.04973594611472042,-0.04916383486036954
2010T4,2010,4,S121,Banco Central,18901.699030598,1.0877626004264664,0.08412292648763496,0.034386980372914544
2011T1,2011,1,S121,Banco Central,20335.821903482,1.1542240701132718,0.1434283174467752,0.05930539095914024
2011T2,2011,2,S121,Banco Central,21668.804739971998,1.2151189780589033,0.19484199632655322,0.05141367887977802
2011T3,2011,3,S121,Banco Central,23382.205412934,1.2929559290613477,0.2569310149562078,0.062089018629654574
2011T4,2011,4,S121,Banco Central,26777.079057863,1.4452331819819277,0.368270680159188,0.11133966520298022
2012T1,2012,1,S121,Banco Central,24587.639732128002,1.348069476649958,0.298673551703459,-0.06959712845572902
2012T2,2012,2,S121,Banco Central,25291.20743793,1.3791631484615168,0.32147690106735877,0.022803349363899772
2012T3,2012,3,S121,Banco Central,24868.259041443,1.3604412034219104,0.30780906141784253,-0.013667839649516234
2012T4,2012,4,S121,Banco Central,26743.13548225,1.4425259178383374,0.366395686544314,0.05858662512647145
2013T1,2013,1,S121,Banco Central,25084.39104341,1.3699946800505178,0.3148068566576895,-0.0515888298866245
2013T2,2013,2,S121,Banco Central,26096.800786948996,1.414296275598828,0.3466320756524795,0.03182521899479002
2013T3,2013,3,S121,Banco Central,26347.025738224,1.4251327324946448,0.3542649549931079,0.007632879340628396
2013T4,2013,4,S121,Banco Central,25790.418884444,1.4012538238502945,0.3373674242856436,-0.016897530707464303
2014T1,2014,1,S121,Banco Central,25760.065088093,1.3999680257851046,0.33644939763548,-0.0009180266501636059
