periodo,año,trimestre,sector_codigo,sector_nombre,A_notional_nominal_total,A_notional_real_total,log_A_real,d_log_A_real
2024T4,2024,4,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),97079.2209620645,3.834050554963823,1.3439218304947407,0.01295264889660741
2025T1,2025,1,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),99909.77072144949,3.906826349534902,1.3627253690997456,0.018803538605004944
2025T2,2025,2,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),106803.89971764316,4.082396591882846,1.4066842159355217,0.04395884683577611
2025T3,2025,3,OFIs,Otros intermediarios financieros (FMM + FNM + Otros),109708.02556603,4.15594548492087,1.424539955951929,0.017855740016407218
2003T1,2003,1,S11,Empresas no financieras,14573.495145130704,0.8683175924790096,-0.14119774129041615,
2003T2,2003,2,S11,Empresas no financieras,14721.169481847255,0.8770249751531153,-0.13121980907574468,0.00997793221467147
2003T3,2003,3,S11,Empresas no financieras,14873.277960503348,0.8860010290522347,-0.12103716691922647,0.010182642156518207
2003T4,2003,4,S11,Empresas no financieras,15570.113063922843,0.9271851368193442,-0.07560201726266365,0.045435149656562826
2004T1,2004,1,S11,Empresas no financieras,16381.465162141792,0.9754201276354252,-0.0248870006561966,0.050715016606467045
2004T2,2004,2,S11,Empresas no financieras,17018.202917273713,1.0128423801329005,0.01276061605532309,0.03764761671151969
2004T3,2004,3,S11,Empresas no financieras,17548.977556146812,1.0437179214912973,0.04278926281007868,0.03002864675475559
2004T4,2004,4,S11,Empresas no financieras,19915.670183020862,1.1803862701346315,0.16584173248276823,0.12305246967268955
2005T1,2005,1,S11,Empresas no financieras,20367.405322364164,1.2066518040471128,0.187849420005686,0.022007687522917763
2005T2,2005,2,S11,Empresas no financieras,20419.350121820582,1.2096219027909936,0.1903078337452925,0.0024584137396065076
2005T3,2005,3,S11,Empresas no financieras,20802.341472950473,1.231238386727263,0.20802048135999412,0.01771264761470162
2005T4,2005,4,S11,Empresas no financieras,22383.42753489498,1.3191995981083293,0.27702518761518363,0.06900470625518951
2006T1,2006,1,S11,Empresas no financieras,23013.239361130487,1.3543538612633292,0.3033244854438725,0.026299297828688895
2006T2,2006,2,S11,Empresas no financieras,23448.841822039845,1.378352145743279,0.32088868837941775,0.017564202935545226
2006T3,2006,3,S11,Empresas no financieras,24436.674659411132,1.4320353577909657,0.35909675942843977,0.03820807104902202
2006T4,2006,4,S11,Empresas no financieras,26044.824967885645,1.5197380727474898,0.41853799944842934,0.05944124001998957
2007T1,2007,1,S11,Empresas no financieras,26666.732363929576,1.5535871127254537,0.44056652341589325,0.02202852396746391
2007T2,2007,2,S11,Empresas no financieras,27499.82792001455,1.5983190688923583,0.468952495055429,0.028385971639535768
2007T3,2007,3,S11,Empresas no financieras,28362.824055925194,1.6433161404672543,0.49671623714144814,0.027763742086019116
2007T4,2007,4,S11,Empresas no financieras,31061.082932799913,1.780823434426112,0.577075860946107,0.08035962380465883
2008T1,2008,1,S11,Empresas no financieras,30385.256239093866,1.74672956781544,0.557745221124497,-0.019330639821609985
2008T2,2008,2,S11,Empresas no financieras,31373.274789465864,1.7955140786474224,0.5852913757267333,0.027546154602236306
2008T3,2008,3,S11,Empresas no financieras,31779.911550241,1.8148884913344254,0.5960240285481587,0.010732652821425437
2008T4,2008,4,S11,Empresas no financieras,33068.060327894265,1.8749348530362295,0.6285739137714067,0.032549885223247976
2009T1,2009,1,S11,Empresas no financieras,33354.495866044046,1.8886008206565699,0.635836248378438,0.0072623346070312955
2009T2,2009,2,S11,Empresas no financieras,33085.207588536214,1.8757365384121623,0.6290014027750925,-0.006834845603345463
2009T3,2009,3,S11,Empresas no financieras,35586.264468624184,1.995780834282126,0.6910353693966756,0.062033966621583114
2009T4,2009,4,S11,Empresas no financieras,38675.08153185087,2.143268527628346,0.762332013181074,0.07129664378439837
2010T1,2010,1,S11,Empresas no financieras,39559.47004393659,2.1853852345241522,0.7817921217137058,0.019460108532631804
2010T2,2010,2,S11,Empresas no financieras,40222.705420571096,2.216666734929512,0.7960045967949212,0.01421247508121537
2010T3,2010,3,S11,Empresas no financieras,44284.22238612815,2.4069909555855227,0.8783774012473538,0.08237280445243256
2010T4,2010,4,S11,Empresas no financieras,46281.53678398858,2.5000817594968847,0.9163234351381514,0.03794603389079765
2011T1,2011,1,S11,Empresas no financieras,48615.605271466164,2.608249354450212,0.9586792508628773,0.04235581572472591
2011T2,2011,2,S11,Empresas no financieras,48256.47925500149,2.5918433324709023,0.9523693339437341,-0.006309916919143177
2011T3,2011,3,S11,Empresas no financieras,46062.35638118888,2.492167969132182,0.9131530019972756,-0.03921633194645857
2011T4,2011,4,S11,Empresas no financieras,52830.91432641508,2.795772025699173,1.0281082851743628,0.11495528317708725
2012T1,2012,1,S11,Empresas no financieras,53196.91508915177,2.8120145357536073,1.033901143121974,0.005792857947611196
2012T2,2012,2,S11,Empresas no financieras,54299.127404257255,2.860726021101677,1.0510754461484602,0.01717430302648615
2012T3,2012,3,S11,Empresas no financieras,56381.49512222511,2.9529026892055428,1.0827886490205585,0.031713202872098334
2012T4,2012,4,S11,Empresas no financieras,61081.27754114925,3.1586657407219834,1.1501497044842275,0.067361055463669
2013T1,2013,1,S11,Empresas no financieras,60917.722100743915,3.1515140190572364,1.1478829783372202,-0.002266726147007292
2013T2,2013,2,S11,Empresas no financieras,58372.618340306035,3.0401439358049123,1.1119048616015295,-0.035978116735690735
2013T3,2013,3,S11,Empresas no financieras,58918.57618758744,3.063787655781087,1.1196519465332755,0.007747084931746029
2013T4,2013,4,S11,Empresas no financieras,60234.858480098665,3.120257288520238,1.137915462690707,0.018263516157431603
2014T1,2014,1,S11,Empresas no financieras,58096.45067349244,3.0296735411521425,1.1084548715226583,-0.029460591168048778
2014T2,2014,2,S11,Empresas no financieras,60059.35042793752,3.1113806515508324,1.1350665670846118,0.02661169556195353
2014T3,2014,3,S11,Empresas no financieras,60828.11435089849,3.143189791189122,1.1452381413531485,0.010171574268536654
2014T4,2014,4,S11,Empresas no financieras,63500.870393936646,3.2517188523874827,1.1791837341928362,0.03394559283968768
2015T1,2015,1,S11,Empresas no financieras,62267.19617286879,3.2016158899653737,1.1636556479676285,-0.015528086225207627
2015T2,2015,2,S11,Empresas no financieras,63753.55112150912,3.2611106395322915,1.1820678243310825,0.018412176363453936
2015T3,2015,3,S11,Empresas no financieras,69550.96857105523,3.489833668256767,1.249854075553303,0.06778625122222048
2015T4,2015,4,S11,Empresas no financieras,68277.23722824664,3.440135011659572,1.235510718190598,-0.014343357362704978
2016T1,2016,1,S11,Empresas no financieras,67862.06864166971,3.4240507182161255,1.2308242707329116,-0.004686447457686427
2016T2,2016,2,S11,Empresas no financieras,70275.10415595717,3.516674279963329,1.2575157361701046,0.02669146543719303
2016T3,2016,3,S11,Empresas no financieras,70902.00619439491,3.5405796668921594,1.2642904614501398,0.006774725280035199
2016T4,2016,4,S11,Empresas no financieras,73576.864955157,3.6421001159270414,1.2925604701991587,0.02827000874901886
2017T1,2017,1,S11,Empresas no financieras,73789.82262345283,3.6501447725821947,1.2947668305289648,0.002206360329806145
2017T2,2017,2,S11,Empresas no financieras,72986.36580301808,3.620013360296141,1.2864777165204109,-0.008289114008553922
2017T3,2017,3,S11,Empresas no financieras,74631.97919217899,3.6817467268853243,1.3033872936131667,0.016909577092755868
2017T4,2017,4,S11,Empresas no financieras,75720.3185344833,3.722359222465404,1.3143576668529575,0.010970373239790776
2018T1,2018,1,S11,Empresas no financieras,75755.31290445056,3.723656901581062,1.3147062234789915,0.00034855662603394677
2018T2,2018,2,S11,Empresas no financieras,73778.07389264459,3.6508539354744975,1.2949610951557344,-0.019745128323257033
2018T3,2018,3,S11,Empresas no financieras,72665.4237663988,3.6101831081040454,1.2837584935249433,-0.01120260163079112
2018T4,2018,4,S11,Empresas no financieras,74480.34883279518,3.676022870592128,1.3018314260715098,0.0180729325465665
2019T1,2019,1,S11,Empresas no financieras,73942.3873886366,3.656507303302905,1.2965084030748586,-0.005323022996651217
2019T2,2019,2,S11,Empresas no financieras,74796.21493420277,3.6871068218389267,1.3048420913950791,0.008333688320220523
2019T3,2019,3,S11,Empresas no financieras,75934.5258563382,3.7276904432313995,1.3157888577618024,0.010946766366723315
2019T4,2019,4,S11,Empresas no financieras,73528.47900484757,3.642700971283009,1.292725431561902,-0.02306342619990054
2020T1,2020,1,S11,Empresas no financieras,75999.54023142677,3.729109387505261,1.316169435039776,0.02344400347787401
2020T2,2020,2,S11,Empresas no financieras,80865.30801414765,3.898669485340492,1.360635337323104,0.04446590228332803
2020T3,2020,3,S11,Empresas no financieras,82569.82161540198,3.9580439630967272,1.3757499545205891,0.015114617197485192
2020T4,2020,4,S11,Empresas no financieras,83441.23946152834,3.988020156904171,1.383294906476029,0.007544951955439805
2021T1,2021,1,S11,Empresas no financieras,87253.04646508963,4.117696524624051,1.4152939110439697,0.0319990045679408
2021T2,2021,2,S11,Empresas no financieras,89372.73834645895,4.189043007635544,1.4324723087146638,0.017178397670694068
2021T3,2021,3,S11,Empresas no financieras,90620.65159601593,4.230517944614747,1.4423244310977452,0.009852122383081419
2021T4,2021,4,S11,Empresas no financieras,85461.22656743764,4.064040520998703,1.4021776809446582,-0.040146750153086996
2022T1,2022,1,S11,Empresas no financieras,85607.72402882541,4.068657851492075,1.4033131788515043,0.0011354979068460835
2022T2,2022,2,S11,Empresas no financieras,84150.62696431615,4.024619269841635,1.3924303150527901,-0.01088286379871417
2022T3,2022,3,S11,Empresas no financieras,81914.82851203076,3.9593561651136486,1.3760814274808253,-0.016348887571964843
2022T4,2022,4,S11,Empresas no financieras,85613.97671162925,4.064712045228601,1.402342902908534,0.026261475427708625
2023T1,2023,1,S11,Empresas no financieras,90055.976371476,4.189573316526888,1.4325988949841706,0.030255992075636673
2023T2,2023,2,S11,Empresas no financieras,92857.89106732675,4.267211306762568,1.4509605241333678,0.018361629149197256
2023T3,2023,3,S11,Empresas no financieras,96983.18352471958,4.3811774380812745,1.4773175097420779,0.026356985608710026
2023T4,2023,4,S11,Empresas no financieras,101257.86584702446,4.497370878856131,1.503492976893155,0.026175467151077214
2024T1,2024,1,S11,Empresas no financieras,104417.54887433274,4.58255241534305,1.5222561388208196,0.018763161927664473
